R_gyr,L_gyr,R_acc,L_acc,SampleRate
-7.86263608932495,-0.332834857702255,-3.27890863418579,-4.99038648605347,
-7.93548364639282,-0.289254426956177,-2.92001085281372,-5.56901741027832,
-8.21597938537598,-0.292458879947662,-4.35315985679627,-5.29313001632691,
-8.14676303863525,-0.286049973964691,-8.67458076477051,-4.90005159378052,
-7.13159580230713,-0.258705401420593,-13.2328248977661,-4.87319536209107,
-4.16129026412964,-0.235633412003517,-17.1514013290405,-5.3028959274292,
0.116641759872437,-0.225806444883347,-27.1272911071777,-5.40787954330444,
0.646656703948975,-0.230292671918869,-12.2830890655518,-5.3541672706604,
0.477462077140808,-0.240974146127701,9.49491815567017,-5.37369890213013,
0.612903195619583,-0.241828668117523,11.5726179122925,-5.51286315917969,
0.758384954929352,-0.251655626296997,1.08645877838135,-5.40299673080444,
1.16620380878448,-0.245887631177902,-4.9366738319397,-5.25894947052002,
1.84426400661469,-0.226660966873169,-2.72713384628296,-5.31998643875122,
2.39671013355255,-0.210852384567261,-0.791039729118347,-5.21500263214111,
2.72826309204102,-0.196966454386711,-0.773949384689331,-5.28336420059204,
3.01986751556397,-0.205725264549255,-1.02786339521408,-5.53727827072144,
3.32706689834595,-0.216406750679016,-1.42582471370697,-5.53727817535401,
3.5806450843811,-0.210211497545242,-1.57231357097626,-5.25162496566773,
3.80709247589111,-0.186071354150772,-1.75298314094543,-5.38590650558472,
4.0012815952301,-0.154240542650223,-2.12652957439423,-5.47135810852051,
4.11130084991455,-0.122409740090370,-2.60017690658569,-5.34684257507324,
4.18073043823242,-0.103183080255985,-3.19589810371399,-5.18326330184937,
4.25934638977051,-0.0788293063640595,-3.87707138061523,-5.20767831802368,
4.37662906646729,-0.0527665033936501,-4.85610513687134,-5.53971977233887,
4.47361660003662,-0.0352488774806261,-5.65202789306641,-5.3712574005127,
4.53770551681519,-0.0224311036989093,-6.08172826766968,-5.32242774963379,
4.60393056869507,-0.000640888884663582,-6.67012529373169,-5.29557151794434,
4.65605611801148,0.0205084376037121,-7.6393931388855,-5.19547100067139,
4.71437702178955,0.0339671008288860,-8.64039974212647,-5.25406637191773,
4.78637027740479,0.0563982039690018,-9.46317863464356,-5.37858180999756,
4.84148664474487,0.0822473794221878,-10.2737508773804,-5.38590650558472,
4.86263599395752,0.0867336019873619,-11.2283695220947,-5.31022062301636,
4.81756010055542,0.0914334550499916,-11.9144258499146,-5.37125759124756,
4.67400121688843,0.107455667853355,-12.5736253738403,-5.39323062896729,
4.49925241470337,0.113864555954933,-14.1044338226318,-5.31266193389893,
4.32535762786865,0.130100408196449,-16.1235378265381,-5.41276245117188,
4.04721202850342,0.133945733308792,-16.8828384399414,-5.36637449264527,
3.5171971321106,0.136936554312706,-13.3353672027588,-5.29313020706177,
2.25486006736755,0.149113437533379,-6.16718006134033,-5.37614040374756,
0.944883584976196,0.172399058938026,-8.28394374847412,-5.67644262313843,
0.559068596363068,0.142704552412033,-19.3316432952881,-5.23209314346314,
0.810296940803528,0.0989104881882668,-26.7171222686768,-5.26139078140259,
1.25635541677475,0.0751976035535336,-27.1492652893066,-5.41276273727417,
1.4689168214798,0.0361033964902163,-24.0046382904053,-5.28092279434204,
1.0704977273941,0.0213629558682442,-20.269172668457,-5.43229455947876,
0.324289679527283,-0.0132450327277184,-19.3731491088867,-5.30289602279663,
-0.209784242510796,-0.0745567172765732,-20.3912464141846,-5.23209314346314,
-0.417859429121018,-0.111514633893967,-21.3287742614746,-5.38346490859985,
-0.435377055406570,-0.121982480585575,-19.6319454193115,-5.16373147964478,
-0.569322794675827,-0.0954924151301384,-15.4350402832031,-5.46891679763794,
-0.809442436695099,-0.0399487283080816,-12.5687421798706,-5.59099082946777,
-1.02841273546219,0.0307626560330391,-11.7630535125732,-5.79851655960083,
